mu1,mu2,a1,a2,zero_count,net_zero_count,is_continuum,error
0.09,0,-0.5296689534650697,1.2722218725854067e-15,2,2,0,
0.0905,0,-0.529096644724835,-1.4135798584282298e-15,2,2,0,
0.091,0,-0.5284972187936491,-1.1308638867425838e-15,2,2,0,
0.0915,0,-0.5278691126217003,-4.240739575284689e-16,2,2,0,
0.092,0,-0.5272106666845859,0.0,2,2,0,
0.0925,0,-0.5265201192834553,1.1308638867425838e-15,2,2,0,
0.093,0,-0.5257956005607579,0.0,2,2,0,
0.0935,0,-0.525035126212164,0.0,2,2,0,
0.094,0,-0.5242365908683754,-5.654319433712919e-16,2,2,0,
0.0945,0,-0.5233977611110844,1.2722218725854067e-15,2,2,0,
0.095,0,-0.522516268074486,8.481479150569378e-16,2,2,0,
0.0955,0,-0.521589599566423,0.0,2,2,0,
0.096,0,-0.520615091620492,4.240739575284689e-16,2,2,0,
0.0965,0,-0.5195899193606314,5.654319433712919e-16,2,2,0,
0.097,0,-0.5185110870212919,5.654319433712919e-16,2,2,0,
0.0975,0,-0.5173754169169523,-5.654319433712919e-16,2,2,0,
0.098,0,-0.5161795370920707,-1.6962958301138756e-15,2,2,0,
0.0985,0,-0.5149198673030406,0.0,2,2,0,
0.099,0,-0.513592602883489,-1.4135798584282297e-16,2,2,0,
0.09950000000000001,0,-0.5121936959176775,-1.4135798584282298e-15,2,2,0,
0.1,0,-0.5107188329872636,1.4135798584282297e-16,2,2,0,
0.1005,0,-0.5091634085544943,0.0,2,2,0,
0.101,0,-0.4575622048306496,-1.2722218725854067e-15,4,4,0,
0.1015,0,-0.4324138531289002,-8.481479150569378e-16,4,4,0,
0.102,0,-0.4127155741437183,2.6858017310136362e-15,4,4,0,
0.1025,0,-0.3956104255168171,-8.481479150569378e-16,4,4,0,
0.103,0,-0.3800456670155219,1.4135798584282297e-16,4,4,0,
0.1035,0,-0.3654884559148033,1.4135798584282298e-15,4,4,0,
0.104,0,-0.351620360344046,1.1308638867425838e-15,4,4,0,
0.1045,0,-0.3382290841327958,-8.481479150569378e-16,4,4,0,
0.105,0,-0.3251608976259015,0.0,4,4,0,
0.1055,0,-0.3122965180240762,0.0,4,4,0,
0.106,0,-0.299537439105742,0.0,4,4,0,
0.1065,0,-0.286797355004013,1.5549378442710527e-15,4,4,0,
0.107,0,-0.2739961606439531,3.675307631913397e-15,4,4,0,
0.1075,0,-0.2610551771641721,-4.240739575284689e-16,4,4,0,
0.108,0,-0.2478927355649524,-2.8271597168564594e-16,4,4,0,
0.1085,0,-0.2344193975486433,1.5549378442710527e-15,4,4,0,
0.109,0,-0.2205319951374491,0.0,4,4,0,
0.1095,0,-0.2061052810352046,4.240739575284689e-16,4,4,0,
0.11,0,-0.1909790639035984,1.6962958301138756e-15,4,4,0,
0.1105,0,-0.1749365946411737,0.0,4,4,0,
0.111,0,-0.1576647556849945,1.2722218725854067e-15,4,4,0,
0.1115,0,-0.1386719594002289,-2.6858017310136362e-15,4,4,0,
0.112,0,-0.1170899889443716,1.5549378442710527e-15,4,4,0,
0.1125,0,-0.09105879971979676,1.0884564909897368e-14,4,4,0,
0.113,0,-0.05448643009952363,1.2722218725854067e-15,4,4,0,
0.1135,0,0,0.0,0,0,0,
0.114,0,0,0.0,0,0,0,
0.1145,0,0,0.0,0,0,0,
0.115,0,0,0.0,0,0,0,
0.1155,0,0,0.0,0,0,0,
0.116,0,0,0.0,0,0,0,
0.1165,0,0.01171841084121238,0.0,2,2,0,
0.117,0,0.05098909423142807,0.0,2,2,0,
0.1175,0,0.07134866751864757,0.0,2,2,0,
0.118,0,0.08724141076787743,-1.2015428796639952e-15,2,2,0,
0.1185,0,0.100810700328744,0.0,2,2,0,
0.119,0,0.1129051213638043,4.594134539891746e-16,2,2,0,
0.1195,0,0.1239646544697816,0.0,2,2,0,
0.12,0,0.1342528020110159,-2.0143512982602275e-15,2,2,0,
0.1205,0,0.1439426174374993,-9.54166404439055e-16,2,2,0,
0.121,0,0.1531554023289741,0.0,2,2,0,
0.1215,0,0.1619804764117638,-7.774689221355263e-16,2,2,0,
0.122,0,0.1704862445860156,0.0,2,2,0,
0.1225,0,0.1787268387047647,0.0,2,2,0,
0.123,0,0.186746331327276,0.0,2,2,0,
0.1235,0,0.1945815359055194,-2.049690794720933e-15,2,2,0,
0.124,0,0.2022639446529261,-8.481479150569378e-16,2,2,0,
0.1245,0,0.2098211209505108,-1.1662033832032895e-15,2,2,0,
0.125,0,0.2172777375702861,1.0601848938211722e-16,2,2,0,
0.1255,0,0.2246563816022956,0.0,2,2,0,
0.126,0,0.231978206179583,0.0,2,2,0,
0.1265,0,0.2392634850632649,-2.4030857593279904e-15,2,2,0,
0.127,0,0.2465321121926151,-7.774689221355263e-16,2,2,0,
0.1275,0,0.2538040809159801,-1.90833280887811e-15,2,2,0,
0.128,0,0.2610999750739493,0.0,2,2,0,
0.1285,0,0.2684415058380565,-4.947529504498804e-16,2,2,0,
0.129,0,0.2758521346045976,1.236882376124701e-15,2,2,0,
0.1295,0,0.2833578347779849,-2.2617277734851675e-15,2,2,0,
0.13,0,0.2909880670258853,0.0,2,2,0,
